time,latitude,longitude,u10,v10,mwd,mwp,swh
2021-05-02 11:00:00,34.0,120.5,-2.4782867,0.72631836,27.797796,4.303031,0.5369317
2021-05-02 12:00:00,34.0,120.5,-2.9617157,1.3460388,28.940569,4.2597446,0.5128678
2021-05-02 13:00:00,34.0,120.5,-2.9666748,1.929184,31.658802,4.1744785,0.49732512
2021-05-02 14:00:00,34.0,120.5,-3.1640778,2.5839996,36.793324,4.061244,0.48905396
2021-05-02 15:00:00,34.0,120.5,-3.7707367,3.0766907,48.313644,3.890665,0.4977013
2021-05-02 16:00:00,34.0,120.5,-3.9064178,3.916809,69.12064,3.671379,0.53589356
2021-05-02 17:00:00,34.0,120.5,-3.4978485,4.6592865,93.11453,3.5330095,0.59137255
2021-05-02 18:00:00,34.0,120.5,-2.875229,5.1232758,114.4465,3.4966316,0.65440094
2021-05-02 19:00:00,34.0,120.5,-2.8375702,5.257721,128.19746,3.547884,0.7057082
2021-05-02 20:00:00,34.0,120.5,-3.0081177,5.2891083,135.60187,3.6496944,0.75136733
2021-05-02 21:00:00,34.0,120.5,-3.3877563,5.3107605,139.30325,3.7647533,0.7931918
2021-05-02 22:00:00,34.0,120.5,-3.502884,5.111252,141.25067,3.8803596,0.81978655
2021-05-02 23:00:00,34.0,120.5,-4.402649,5.1473236,141.61441,3.9568758,0.8582941
2021-05-03 00:00:00,34.0,120.5,-5.1496124,5.8609924,141.27875,4.0081053,0.94465333
2021-05-03 01:00:00,34.0,120.5,-5.496002,6.1537323,141.20737,4.110837,1.0543255
2021-05-03 02:00:00,34.0,120.5,-5.7816315,6.3766327,140.91423,4.2515116,1.1695981
2021-05-03 03:00:00,34.0,120.5,-6.001892,6.3397064,140.50879,4.4098043,1.2629287
2021-05-03 04:00:00,34.0,120.5,-6.073654,6.652954,139.89732,4.5544367,1.3372443
2021-05-03 05:00:00,34.0,120.5,-6.0450134,7.1985474,139.70786,4.6841707,1.4119828
2021-05-03 06:00:00,34.0,120.5,-5.7088776,7.2189484,139.73846,4.800688,1.4783895
2021-05-03 07:00:00,34.0,120.5,-5.856247,6.828842,139.30536,4.8942385,1.5207808
2021-05-03 08:00:00,34.0,120.5,-5.6959686,6.4074554,139.04141,4.9764767,1.5426395
2021-05-03 09:00:00,34.0,120.5,-5.7077484,6.296692,138.83775,5.0568266,1.5605019
2021-05-03 10:00:00,34.0,120.5,-5.037033,6.2914124,138.5654,5.1404657,1.5392917
2021-05-03 11:00:00,34.0,120.5,-4.5512543,6.2619934,138.44041,5.2040586,1.5068665
2021-05-03 12:00:00,34.0,120.5,-3.9127197,5.9884186,138.36038,5.259617,1.4600685
2021-05-03 13:00:00,34.0,120.5,-3.2666473,6.3454742,138.59174,5.2883425,1.4131554
2021-05-03 14:00:00,34.0,120.5,-2.4965363,6.1845703,139.14127,5.297847,1.3678389
2021-05-03 15:00:00,34.0,120.5,-1.85672,5.3689423,139.22949,5.3349056,1.3093491
2021-05-03 16:00:00,34.0,120.5,-1.1432953,4.3009033,138.94286,5.398677,1.2448251
2021-05-03 17:00:00,34.0,120.5,-0.80677795,3.5678253,138.5506,5.4658947,1.1853027
2021-05-03 18:00:00,34.0,120.5,-1.2401428,2.8403015,138.14198,5.5313883,1.1333137
2021-05-03 19:00:00,34.0,120.5,-2.013504,2.8534088,137.83813,5.582308,1.0897573
2021-05-03 20:00:00,34.0,120.5,-2.0456543,3.132492,137.64316,5.6138935,1.0526192
2021-05-03 21:00:00,34.0,120.5,-1.2826385,3.35112,137.54063,5.6364717,1.0183542
2021-05-03 22:00:00,34.0,120.5,0.84542847,2.2470093,137.53085,5.6595554,0.9833805
2021-05-03 23:00:00,34.0,120.5,1.6685944,-1.048111,137.32504,5.6404295,0.9535392
2021-05-04 00:00:00,34.0,120.5,1.5967407,-4.2787476,136.39989,5.562087,0.93185604
2021-05-04 01:00:00,34.0,120.5,0.13415527,-6.026642,133.46307,5.3824625,0.92559475
2021-05-04 02:00:00,34.0,120.5,-0.09562683,-6.8460236,125.84665,5.121706,0.9389346
2021-05-04 03:00:00,34.0,120.5,0.47799683,-7.5682526,101.84445,4.760165,1.0030673
2021-05-04 04:00:00,34.0,120.5,0.73661804,-8.281067,58.11005,4.5075426,1.1018676
