time	latitude	longitude	u10	v10	mwd	mwp	swh	ls	lx
2021/5/1 0:00:00	35.75	123.25	5.944337425	-4.505068059	--	--	--	--	
2021/5/1 0:00:00	35.75	123.5	5.991007264	-4.713043808	--	--	--	--	
2021/5/1 0:00:00	35.75	123.75	6.051562345	-4.954295676	--	--	--	--	
2021/5/1 0:00:00	35.75	124	6.039991311	-5.107273394	--	--	--	--	
2021/5/1 0:00:00	35.75	124.25	5.82207016	-5.341592737	--	--	--	--	
2021/5/1 0:00:00	35.75	124.5	5.764600689	-5.49041094	--	--	--	--	
2021/5/1 0:00:00	35.75	124.75	5.757658068	-5.539862951	--	--	--	--	
2021/5/1 0:00:00	35.75	125	5.592577975	-5.52923308	--	--	--	--	
2021/5/1 0:00:00	35.75	125.25	5.522380365	-5.425707374	--	--	--	--	
2021/5/1 0:00:00	35.75	125.5	5.431354894	-5.305543608	--	--	--	--	
2021/5/1 0:00:00	35.75	125.75	5.350357652	-5.469613365	--	--	--	--	
2021/5/1 0:00:00	35.75	126	5.078824041	-5.54309813	--	--	--	--	
2021/5/1 0:00:00	35.75	126.25	5.549765147	-6.242358814	--	--	--	--	
2021/5/1 0:00:00	35.75	126.5	5.111222938	-5.356382124	--	--	--	--	
2021/5/1 0:00:00	35.75	126.75	4.422746382	-4.170920356	--	--	--	--	
2021/5/1 0:00:00	35.75	127	3.50747755	-2.602783209	--	--	--	--	
2021/5/1 0:00:00	35.75	127.25	3.274128353	-1.737141926	--	--	--	--	
2021/5/1 0:00:00	35.75	127.5	3.444222561	-1.341988003	--	--	--	--	
2021/5/1 0:00:00	35.75	127.75	3.562247113	-1.052670628	--	--	--	--	
2021/5/1 0:00:00	35.75	128	3.486263986	-0.946371912	--	--	--	--	
2021/5/1 0:00:00	35.75	128.25	2.37891598	-0.35156127	--	--	--	--	
2021/5/1 0:00:00	35.75	128.5	1.835848759	0.118001754	--	--	--	--	
2021/5/1 0:00:00	35.75	128.75	2.079997588	0.177621469	--	--	--	--	
2021/5/1 0:00:00	35.75	129	2.815143983	-0.156064066	--	--	--	--	
2021/5/1 0:00:00	35.75	129.25	3.288784997	0.014476048	--	--	--	--	
2021/5/1 0:00:00	35.75	129.5	4.715493556	1.177753737	--	--	--	--	
2021/5/1 0:00:00	35.75	129.75	5.908081517	2.536066461	--	--	--	--	
2021/5/1 0:00:00	35.75	130	6.420678347	3.90408472	--	--	--	--	
2021/5/1 0:00:00	36	120	2.994880719	0.782137646	--	--	--	--	
2021/5/1 0:00:00	36	120.25	4.070986932	1.375099614	--	--	--	--	
2021/5/1 0:00:00	36	120.5	5.023283075	1.703239129	--	--	--	--	
2021/5/1 0:00:00	36	120.75	5.374656824	1.606645948	--	--	--	--	
2021/5/1 0:00:00	36	121	5.539736917	1.436568002	--	--	--	--	
2021/5/1 0:00:00	36	121.25	5.623819768	0.694325663	--	--	--	--	
2021/5/1 0:00:00	36	121.5	5.769229102	-0.150518046	--	--	--	--	
2021/5/1 0:00:00	36	121.75	5.436369009	-1.028175706	--	--	--	--	
2021/5/1 0:00:00	36	122	5.194148685	-1.816634879	--	--	--	--	
2021/5/1 0:00:00	36	122.25	5.137450616	-2.423924065	--	--	--	--	
2021/5/1 0:00:00	36	122.5	5.522380365	-3.108395363	--	--	--	--	
2021/5/1 0:00:00	36	122.75	5.718702251	-3.801647859	--	--	--	--	
2021/5/1 0:00:00	36	123	6.026106069	-4.210204664	--	--	--	--	
2021/5/1 0:00:00	36	123.25	6.352409243	-4.361333708	--	--	--	--	
2021/5/1 0:00:00	36	123.5	6.405250301	-4.564687773	--	--	--	--	
2021/5/1 0:00:00	36	123.75	6.411035818	-4.713968144	--	--	--	--	
2021/5/1 0:00:00	36	124	6.430320876	-4.85354298	--	--	--	--	
2021/5/1 0:00:00	36	124.25	6.272183404	-5.076308116	--	--	--	--	
2021/5/1 0:00:00	36	124.5	6.300725289	-5.199244892	--	--	--	--	
2021/5/1 0:00:00	36	124.75	6.298796783	-5.245923893	--	--	--	--	
2021/5/1 0:00:00	36	125	6.254826852	-5.073072937	--	--	--	--	
2021/5/1 0:00:00	36	125.25	6.138345104	-4.735227887	--	--	--	--	
2021/5/1 0:00:00	36	125.5	6.051562345	-4.586871853	--	--	--	--	
2021/5/1 0:00:00	36	125.75	5.964779586	-4.439440156	--	--	--	--	
2021/5/1 0:00:00	36	126	5.770386206	-4.544814535	--	--	--	--	
2021/5/1 0:00:00	36	126.25	5.919652551	-5.090635334	--	--	--	--	
2021/5/1 0:00:00	36	126.5	5.025211581	-4.484270484	--	--	--	--	
2021/5/1 0:00:00	36	126.75	4.231438611	-3.276162467	--	--	--	--	
2021/5/1 0:00:00	36	127	3.516348676	-1.86608689	--	--	--	--	
2021/5/1 0:00:00	36	127.25	3.338540445	-0.97179117	--	--	--	--	
2021/5/1 0:00:00	36	127.5	3.47739286	-0.606678188	--	--	--	--	
2021/5/1 0:00:00	36	127.75	3.673714746	-0.769361441	--	--	--	--	
2021/5/1 0:00:00	36	128	3.687214286	-0.738396163	--	--	--	--	
2021/5/1 0:00:00	36	128.25	2.74378927	-0.438448916	--	--	--	--	
2021/5/1 0:00:00	36	128.5	2.716790189	-0.291017219	--	--	--	--	
2021/5/1 0:00:00	36	128.75	3.010694466	-0.237405692	--	--	--	--	
2021/5/1 0:00:00	36	129	3.566104125	0.026492425	--	--	--	--	
2021/5/1 0:00:00	36	129.25	3.585774883	0.068549743	--	--	--	--	
2021/5/1 0:00:00	36	129.5	5.047582248	1.18237542	--	--	--	--	
2021/5/1 0:00:00	36	129.75	6.821036143	2.556401867	--	--	--	--	
2021/5/1 0:00:00	36	130	7.496013158	3.909168572	--	--	--	--	
2021/5/1 0:00:00	36.25	120	2.660863522	0.453998131	--	--	--	--	
2021/5/1 0:00:00	36.25	120.25	3.421851894	0.810329914	--	--	--	--	
2021/5/1 0:00:00	36.25	120.5	4.371062428	1.136620755	--	--	--	--	
2021/5/1 0:00:00	36.25	120.75	5.039868225	1.191618787	--	--	--	--	
2021/5/1 0:00:00	36.25	121	5.444083032	1.11027716	--	--	--	--	
2021/5/1 0:00:00	36.25	121.25	5.574835722	0.405470456	--	--	--	--	
2021/5/1 0:00:00	36.25	121.5	5.41014133	-0.425970371	--	--	--	--	
2021/5/1 0:00:00	36.25	121.75	5.078052639	-1.300855021	--	--	--	--	
2021/5/1 0:00:00	36.25	122	4.679623349	-1.921084921	--	--	--	--	
2021/5/1 0:00:00	36.25	122.25	4.698908407	-2.321322696	--	--	--	--	
2021/5/1 0:00:00	36.25	122.5	5.082681053	-3.003020984	--	--	--	--	
